time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-04T18:21:03.570Z,-28.6017,-179.0548,354.34,5.2,mb,,49,1.176,0.94,us,usc000stzw,2015-01-20T09:03:17.040Z,"Kermadec Islands region",earthquake,9.4,4.4,0.051,142,reviewed,us,us
2014-11-08T16:09:02.790Z,-21.0123,-179.0163,611.32,5.1,mb,,46,4.268,0.79,us,usc000svpk,2015-01-31T02:50:11.040Z,"Fiji region",earthquake,10.6,2.5,0.05,134,reviewed,us,us
2014-11-09T16:26:03.640Z,-23.3937,-179.8524,547.47,5,mb,,47,5.952,0.78,us,usc000svv4,2015-01-31T02:50:13.040Z,"south of the Fiji Islands",earthquake,8.2,4.8,0.038,244,reviewed,us,us
2014-11-10T11:38:59.000Z,-21.631,-68.725,111.3,5.6,mww,,,,1.03,us,usc000svzn,2022-07-27T07:11:54.307Z,"93 km NNE of Calama, Chile",earthquake,6,3.9,,,reviewed,guc,us
2014-11-11T21:22:25.570Z,-6.7773,129.494,159.95,5.1,mb,,18,2.153,0.79,us,usc000sweg,2015-01-31T02:50:19.040Z,"Banda Sea",earthquake,4.9,4,0.051,127,reviewed,us,us
2014-11-13T12:21:06.120Z,-18.4981,169.1149,211,5.5,mwb,,24,3.542,0.89,us,usc000swx1,2022-05-03T18:19:57.372Z,"116 km N of Isangel, Vanuatu",earthquake,3.4,1.8,0.093,11,reviewed,us,us
2014-11-13T16:14:00.080Z,13.1221,-87.5824,199.82,5.2,mb,,34,0.146,0.85,us,usc000swzu,2015-02-12T01:42:39.040Z,"20 km SSE of Amapala, Honduras",earthquake,5.2,4.5,0.031,372,reviewed,us,us
2014-11-15T05:20:37.780Z,-17.2351,-69.917,152.68,5,mb,,107,1.161,0.86,us,usc000sxjb,2022-07-27T07:38:40.237Z,"14 km ENE of Chuquitira, Peru",earthquake,5.9,4.6,0.043,181,reviewed,us,us
2014-11-17T19:06:31.250Z,-7.0617,120.3597,589.36,5.1,mb,,48,2.122,0.84,us,usc000sy78,2015-02-12T01:42:55.040Z,"166 km NNE of Labuan Bajo, Indonesia",earthquake,8.8,4.6,0.046,156,reviewed,us,us
2014-11-18T00:37:25.980Z,38.1919,72.9695,138.24,5,mb,,55,2.177,1.18,us,usc000sybi,2015-02-12T01:42:56.040Z,"87 km W of Murghob, Tajikistan",earthquake,6.3,7.2,0.051,128,reviewed,us,us
2014-11-21T08:58:04.990Z,36.5157,71.0089,234.57,5.2,mb,,17,0.7,0.86,us,usb000syhn,2022-07-27T08:21:07.211Z,"41 km SSE of Jurm, Afghanistan",earthquake,6.7,4.9,0.045,170,reviewed,us,us
2014-11-22T08:43:53.500Z,-8.7648,-74.6034,137.79,5.1,mb,,87,3.886,0.61,us,usb000syxy,2015-02-18T03:30:53.040Z,"11 km E of Honoria, Peru",earthquake,8.6,5.3,0.031,377,reviewed,us,us
2014-11-24T21:02:19.460Z,-5.9626,154.9618,170,5.6,mww,,21,3.296,0.82,us,usb000sznl,2022-07-27T08:39:27.599Z,"69 km NW of Panguna, Papua New Guinea",earthquake,8.2,1.9,,,reviewed,us,us
2014-11-25T20:20:16.320Z,6.7588,-72.949,165.91,5.1,mwr,,33,2.34,1.11,us,usb000szzw,2022-08-07T05:01:58.245Z,"2 km E of Cepitá, Colombia",earthquake,7,4.6,,,reviewed,us,rsnc
